Artist,Category,VideoTitle,Time,ActivityLevel,LegAsana,BalanacingAsana,StretchAsana,CoreAsana
Yoga with Adriene,30 Days of Yoga,Day 13:Endurance and Ease ,26 min,Active,"Warrior I, humble warrior","Eagle, warrior III","Cross-legged stretch, cat/cow, table twist (shoulder to earth), stick pose, reclined figure 4","Three-legged dog +knee to elbow, bridge"
Yoga with Adriene,30 Days of Yoga,Day 14:Mindful Hatha Yoga,17 min,Vigorous,Low lunge + twist,,"Cat/cow, table twist, heart to earth, sphinx, standing split","Hovering cat, wide-armed cobra"
Yoga with Adriene,30 Days of Yoga,Day 15:Half Hour Half Moon ,30 min,Vigorous,"Low lunge+twist, warrior I, Three-legged dog, warrior II+twist, triangle","Half moon, standing split","Seated side stretches, cat/cow, reclined twist", pushups
Yoga with Adriene,30 Days of Yoga,Day 16:Easy Breezy Beautiful Yoga,14 min,Gentle,"Low lunge+twist, warrior I",,,Three-legged dog + knee to elbow
Yoga with Adriene,30 Days of Yoga,Day 17:Happiness Boost,35 min,Active,"Warrior I, garland","Balancing table+ nose to knee, one-handed tiger, dancer","Reclined twist, cat/cow, shoulder to earth table twist, downward dog twists, seated forward fold, seated twist","Bridge pose flow+pulses, wide-armed pushups, boat"
Yoga with Adriene,30 Days of Yoga,Day 18:Wonder Yoga! ,21 min,Active,"Low lunge, warrior I, warrior II, peaceful warrior","One-legged standing+forward fold, one-legged squat",Breathing+quad stretch,
Yoga with Adriene,30 Days of Yoga,Day 19:Breath and Body Practice,21 min,Gentle,,,"Seated arm vinyasa flow, seated twist, cat/cow, standing arm vinyasa, forward fold with clasped hands, cobbler's pose+forward fold","plank, hovering cat"
Yoga with Adriene,30 Days of Yoga,Day 20:Heart Practice,27 min,Gentle,Warrior I,,"Cat/cow, arm vinyasa, hero, happy baby, reclined cobbler",Three-legged dog + nose to knee
Yoga with Adriene,30 Days of Yoga,Day 21:Joyful Home Practice ,32 min,Active,"Low lunge + twist, chair, warrior II, wide-legged forward fold, garland",Headstand prep,,
Yoga with Adriene,30 Days of Yoga,Day 22:Full Body Awareness ,31 min,Vigorous,"Warrior II, triangle + twist, warrior I, wide-legged forward fold + twist","Balance on toes, balancing squat","Heart to earth, seated forward fold, reclined one-legged twists","chaturonga pushups, wide-armed cobra"
Yoga with Adriene,30 Days of Yoga,Day 23:Freedom and Forgiveness ,24 min,Active,"Half warrior, gate variations","One-legged standing, table-top twist, side arm balance+variations","Lotus, hero","Hovering cat, plank"
Yoga with Adriene,30 Days of Yoga,Day 24:Gentle Yummy Yoga,19 min,Gentle,,,"Seated spinal flex, seated forward fold + twist, wide-legged stretch, cobbler, happy baby, reclined pigeon",
Yoga with Adriene,30 Days of Yoga,Day 25:Dancing Warrior Sequence ,13 min,Vigorous,"Warrior I+II, peaceful warrior, triangle pose+twist",Warrior III,Cat/cow,
Yoga with Adriene,30 Days of Yoga,"Day 26:Earth Practice, Total Body",23 min,Gentle,,Balancing table,"Reclined cobbler, cat/cow",
Yoga with Adriene,30 Days of Yoga,"Day 27:Flexible, Fearless, and Fun",17 min,Active,"Garland, wide forward fold",Tree,Cat/cow,"Wide-armed pushups, plank"
Yoga with Adriene,30 Days of Yoga,Day 28:Playful Yoga Practice ,19 min,Vigorous,Low lunge,Flipped dog,"Three-legged dog stretch, forward fold pulses, cow legs, reclined twist",
Yoga with Adriene,30 Days of Yoga,Day 29:Sweet Surrender,18 min,Gentle,"Low lunge, crescent lunge, high lunge, garland",Crow,"Heart to earth, cat/cow, standing wide-legged forward fold, staff, seated twist, happy baby","Three-legged dog + nose to knee, chatturonga pushups, yogi bicycles"
Yoga with Adriene,30 Days of Yoga,Day 30:Find What Feels Good,22 min,,,,,
Yoga with Adriene,Yoga Camp,Day 1 - Accept,23 min,Gentle,,,"Cat/cow, heart to earth, sphinx, hero, seated twist","Table+nose to knee, boat"
Yoga with Adriene,Yoga Camp,Day 2 - Create,52 min,Active,Low lunge,One-legged standing+twist,"Wind-relieving pose, one-legged reclined twist, cat/cow, stick pose+forward fold, one-legged seated twist+open arm, relined crescent stretch",yogic crunches
Yoga with Adriene,Yoga Camp,Day 3 - Embrace,37 min,Gentle,Low lunge+twist,Balancing table+nose to knee,"Reclined one-legged pigeon, reclined cobbler","Yogic crunches, scissors"
Yoga with Adriene,Yoga Camp,Day 4 - Awaken,36 min,Gentle,"Low lunge, warrior I, three-legged dog, garland",,"Seated twist, cat/cow, head to knee, reclined hip circles",Hovering cat
Yoga with Adriene,Yoga Camp,Day 5 - I am alive ,30 min,Active,"Three-legged dog, crescent lunge",,"Wide-legged sitting, hero, head to knee+twist, cat/cow",
Yoga with Adriene,Yoga Camp,Day 6 - I feel supported,25 min,Active,,,Reclined twist,"Yogic crunches, yogic bicycles, boat, eagle leg crunches, reclined twist+extended legs"
Yoga with Adriene,Yoga Camp,Day 7 - I am capable ,24 min,Gentle,"Warrior II, extended side angle, garland",Tree,Standing wide-legged forward fold,
Yoga with Adriene,Yoga Camp,Day 8 - I choose,32 min,Gentle,,,"Seated spinal flex, stick pose+forward fold, reclined mountain, hedgehog, wind-relieving, recline cobbler, cow legs, foetal pose, seated twist, seated one-legged twist",Locus
Yoga with Adriene,Yoga Camp,Day 9 - I am bold ,33 min,Active,"Low lunge, pyramid, three-legged dog, Warrior II, Warrior II, extended side angle",,"cat/cow, reclined twist, happy baby",
Yoga with Adriene,Yoga Camp,Day 10 - I am present ,39 min,Gentle,"Lotus, three-legged dog, low lunge, lizard+twist, triangle",,"Cobbler+open twist, table-top+twist, cat/cow, one-legged pigeon, wind-relieving, one-legged reclined twist","wide-armed cobra, boat, bridge"
Yoga with Adriene,Yoga Camp,Day 11 - I release ,45 min,Active,"Low lunge+twist, high lunge+twist, downward dog twist",,"Cat/cow, shoulder-to-earth, cow legs, reclined cobbler","Pulses, three-legged dog+knee to elbow, Russian twists"
Yoga with Adriene,Yoga Camp,Day 12 - I trust ,22 min,Active,"Standing forward fold+twist, three-legged dog, warrior I+triangle airplane arms alt, warrior II, humble warrior",crow,reclined twist,
Yoga with Adriene,Yoga Camp,Day 13 - I deserve,34 min,Gentle,,,"hedgehog, ""cheerleader""+twist, head to knee, cat/cow, sphinx, reclined cobbler","boat, plank"
Yoga with Adriene,Yoga Camp,Day 14 - I go with the flow ,29 min,Gentle,"Jet�s, three-legged dog, low lunge+twist, high lunge, triangle+forward fold",,"Bunny, hero/camel",Three-legged dog + nose to knee
Yoga with Adriene,Yoga Camp,Day 15 - I am open ,39 min,Vigorous,"Three-legged dog, warrior I, high lunge, gate+twist, triangle+twist","Half moon, standing split","seated forward fold, cat/cow, one-legged reclined twist, happy baby","boat, chatturonga pushups, gate with raised leg, hedgehog alt, bridge"
Yoga with Adriene,Yoga Camp,Day 16 - I enjoy,15 min,Gentle,,,"Shoulder-to-earth, reverse plank?, bent sphinx, one-legged reclined twist",Hovering cat
Yoga with Adriene,Yoga Camp,Day 17 - I am focused ,30 min,Gentle,"Warrior I, triangle, garland",,Reclined twist+eagle legs,yogic bicycles
Yoga with Adriene,Yoga Camp,Day 18 - I surrender ,30 min,Gentle,"wide angle+forward fold, triangle+forward fold, garland",balancing table+nose to knee,"Cat/cow, hero, standing twist, staff+forward fold",
Yoga with Adriene,Yoga Camp,Day 19 - I respect ,32 min,Active,"Low lunge+triangle stretch alt, warrior I, triangle+forward fold",Balancing table+nose to knee,"Seated twist, wide-legged seat+twist+forward fold, cat/cow, one-legged reclined twist","Hovering cat, chair, plank, three-legged dog+nose to knee, boat, crunches"
Yoga with Adriene,Yoga Camp,Day 20 - I am worthy,28 min,Gentle,,Balancing table+one-handed tiger,"Hero+twist, pranayama, cat/cow, sphinx, stomach twist+bind, reclined one-legged pigeon, hedgehog","Locus, crunches"
Yoga with Adriene,Yoga Camp,Day 21 - I believe,30 min,Active,"Warrior I, high lunge",,"half lotus, eagle arms, cat/cow, reclined twist, hedgehog, reclined cobbler","three-legged dog+knee to elbow, locust"
Yoga with Adriene,Yoga Camp,Day 22,17 min,Gentle,,,,
Yoga with Adriene,Yoga Camp,Day 23 - I am secure ,37 min,Gentle,"Three legged dog, low lunge, warrior I, warrior II, reverse triangle, extended side angle",,"hedgehog, reclined cobbler, reclined starfish, seated twist, staff+forward fold, cat/cow, shoulder to earth",plank
Yoga with Adriene,Yoga Camp,Day 24 - I am in control ,39 min,Active,"Three-legged dog, low lunge, lizard+twist, warrior I + II, wide-legged standing+forward fold",,"Seated twist, cat/cow, tabletop knee circles, happy baby","Hovering cat, pulses, crunches"
Yoga with Adriene,Yoga Camp,Day 25 - I am strong ,27 min,Vigorous,"Low lunge, high lunge, goddess, garland",crow,"Cat/cow, cobbler+forward fold, reclined cobbler, reclined twist","Three-legged dog+nose-to-knee/knee-to-elbow, yogi  bicycles"
Yoga with Adriene,Yoga Camp,Day 26- I attract,40 min,Vigorous,,Dancer,"Heart to earth, sphinx+back bind, seated twist, reclined one-legged pigeon, reclined twist","Hovering cat, plank"
Yoga with Adriene,Yoga Camp,Day 27 - I am grateful ,37 min,Vigorous,"Low lunge, Warrior I, warrior II, peaceful warrior, extended side angle","Table balance flow, standing splits",Staff+forward fold,"Hovering cat, three-legged dog+nose to knee"
Yoga with Adriene,Yoga Camp,Day 28 - I celebrate ,33 min,Gentle,"Crescent lunge+twist, three-legged dog","Tabletop leg lifts, table balane","Cat/cow, pigeon+forward fold+bind, staff, turtle, seated wide-legged forward fold+nose to knee","Boat, bridge"
Yoga with Adriene,Yoga Camp,Day 29 - I love ,27 min,Active,"Low lunge, half splits, Warrior II, triangle+reverse, pyramid",Side plank,"Cat/cow, heart to earth, camel, r. pigeon",Chair
Yoga with Adriene,Yoga Camp,Day 30,39 min,,,,,
Yoga with Adriene,Revolution,Day 1 - Ease,23 min,Gentle,,Balancing table flow,"seated side body stretch, cat/cow, seated twist, staff+forward fold, r. cobbler","hovering table, bridge, leg extensions"
Yoga with Adriene,Revolution,Day 2 - Intention ,30  min,Gentle,"Low lunge+twist, half splits, crescent lunge",,"seated spinal flex, heart to earth, shoulder to earth, cobbler, happy baby","hovering table, leg extensions/boat, bridge"
Yoga with Adriene,Revolution,Day 3 - Honour ,29 min,Gentle,"Low lumge, half splits, crescent lunge+twist, lizard",Toe stand,"Sadhasana, standing wide legged forward fold, cobbler, r. pigeon","Boat twists, Hovering table, three-legged dog+ nose to knee, plank toe taps, chair, crunches"
Yoga with Adriene,Revolution,Day 4 - Prana ,33 min,Active,"Low lunge, crescent lunge, lizard",Balancing table +bind flow,"Breath of fire, cat/cow, table stretch, r. cobbler, hedgehog","Forearm plank, table left lifts, three-legged dog+nose to knee, yogi bicycles, legs up pulses"
Yoga with Adriene,Revolution,Day 5 - Rhythm ,31 min,Gentle,Lizard+twist+bind,Dancer,"Cat/cow, r. twists, happy baby",
Yoga with Adriene,Revolution,Day 6 - Attention (and Abs),36 min,Active,Crescent lunge,Side arm plank,"Cat/cow, heart to earth, sphinx, shoulder to earth","Fore/arm plank, three-legged dog+nose to knee/knee to elbow, hurdles, crunches, yogi scisssors, eagle leg cruches, bridge"
Yoga with Adriene,Revolution,Day 7 - Stability ,30 min,Gentle,"Warrior II flow, triangle","Mountain toe balance, tree","Knocking on heaven's door, standing wide legs, staff, cobbler",Staff lift
Yoga with Adriene,Revolution,Day 8 - Serenity,30 min,Gentle,,,"head to knee, cheerleader+twist, cobbler, r. one-legged pigeon, r. eagle twist","Bridge, yogi bicycles, crunches"
Yoga with Adriene,Revolution,Day 9 - Empower ,31 min,Vigorous,"Low lunge, crescent lunge, half splits, warrior II, extended side angle, squat flow, garland","Standing one-legged tadasana, warrior III, crow","Cat/cow, gorilla, r. twist, happy baby","Three-legged dog+nose-to-knee/knee-to-elbow, chair, wide-arm plank pushups"
Yoga with Adriene,Revolution,Day 10 - Thoughtfulness,27 min,Gentle,,,"Cat/cow, heart to earth, sphinx, bunny, staff+forward fold, r. twist",Hovering sphinx
Yoga with Adriene,Revolution,Day 11 - Align ,28 min,Active,"Crescent lunge, low lunge+twist, garland hover",Extemded hand to toe,"r. foot rub, happy baby, cat/cow",plank hold
Yoga with Adriene,Revolution,Day 12 - In Sync,31 min,Vigorous,Low lunge,"Tree, one-legged tadasana+warrior III flow","Cat/cow, seated twist, wide staff+forward fold+twist, r. cobbler","Three-legged dog+nose to knee, scissors"
Yoga with Adriene,Revolution,Day 13 - Opening ,29 min,Active,"Crescent lunge, half splits, warrior III, lizard, wild thing",,"R. cobbler, happy baby, siddhasana + forward fold, cat/cow, open table twist, one-legged pigeon","Table + nose to knee/knee to elbow, three-legged dog + nose to knee/knee to elbow"
Yoga with Adriene,Revolution,Day 14 - Forgiveness,31 min,Active,Pyramid+forward fold,Standing splits,"seated spinal flex, seated side stretch, cobra flow, heart to earth, sphinx flow","Hovering cat, forearm plank"
Yoga with Adriene,Revolution,Day 15 - Fearlessness ,31 min,Vigorous,"Crescent lunge, low lunge, half splits, high lunge+pyramid flow, garland","Mountain toe balance, standing spits, crow",R. cobbler,"Chair, bridge"
Yoga with Adriene,Revolution,Day 16 - Sweet,34 min,Gentle,Low lunge+mod twist,,"Hedgehog, wind-relieving pose, r. twist, wide legged sitting+forward fold, shoulder to earth, cow legs","Boat, hovering cat, three-legged dog+nose to knee, plank toe taps"
Yoga with Adriene,Revolution,Day 17 - Stillness ,32 min,Gentle,"Half warrior, half extended side angle, gate","Balancing table, toe stand","Cat/cow, seated wide legged forward fold, r. pigeon, happy baby, fish","Hovering table, plough"
Yoga with Adriene,Revolution,Day 18 - Balance ,27 min,Active,"Low lunge, half splits, crescent lunge","One hand downward dog, downward dog +pigeon legs, standing pigeon+forward fold, pigeon toe/arm balance","hero, gorilla, head to knee+twist+bind, cobbler, r. twist","Three-legged dog+nose-to-knee/knee-to-elbow, wide-legged seat+bum lifts"
Yoga with Adriene,Revolution,Day 19 - Light Practice ,36 min,Vigorous,"Low lunge, high lunge","Side plank flow, standing splits flow, half moon flow","seated spinal flex, seated side stretch, shoulder to earth+twist flow, cobbler, r twist flow","Boat lotus, boat"
Yoga with Adriene,Revolution,Day 20 - Peace,30 min,Active,Table leg pulses,Table balane + bind flow,"Cat/cow, seated ""cradle"" pigeon, elephant, r. crescent stretch",
Yoga with Adriene,Revolution,Day 21 - Strength ,34 min,Active,"Low lunge, half splits, warrior II, peaceful warrior, extended side angle, crescent lunge, goddess",,Pigeon+forward fold+bind,"Chait, three-legged dog+nose to knee, forearm/plank, crunches"
Yoga with Adriene,Revolution,Day 22 - Gentle,22 min,Gentle,,,"Siaddhasana+forward fold, staff+forward fold, r. twist, r. pigeon, r. cobbler",pulses
Yoga with Adriene,Revolution,Day 23 - Discipline ,36 min,Vigorous,"Low unge + hover, warrior I, high lunge","One-legged mountain+eagle legs, hummingbird, balancing plank","Cat/cow, hero+twist","Breath of fire, chair"
Yoga with Adriene,Revolution,Day 24 - Patience ,47 min,Vigorous,"Low lunge, half splits, lizard + bind, garland","Dancer, crow, eight-angle pose","R. cow legs, staff+bind, seated pigeon, seated twist, wide-armed cobra, gorilla, r. twist","Crunches, yogi bicycles, reverse table, hovering table, three-legged dog+nose to knee, eight-angle pose"
Yoga with Adriene,Revolution,Day 25 - Root Practice,18 min,Gentle,"Warrior I, garland lift",Tree,seated twist,"Downward dog heel lifts, three-legged dog"
Yoga with Adriene,Revolution,Day 26 - Creativity ,20 min,Gentle,"Low lunge+twist, half splits, triangle twist, squat",,"Cat/cow, cobbler, r. twist","hovering cat, plank to halfway lift flow, ""swimmer"", lotus corework"
Yoga with Adriene,Revolution,Day 27 - Self ,27  min,Active,"Low lunge, warrior I/high lunge, half splits","Warrior III, mountain toe balance","seated spinal flow, seated side stretch, cat/cow hip circles, standing forward fold+twist, sphinx, r. twist","Three-legged dog+nose to knee, sphinx lift"
Yoga with Adriene,Revolution,Day 28 - Heart ,26 min,Active,"Low lunge, crescent lunge, half splits, high lunge + revolve",,"Cat/cow, camel, cobbler+forward fold",Three-legged dog + nose to knee
Yoga with Adriene,Revolution,Day 29 - Truth,14 min,Gentle,,,"seated side stretch, siddhasana +forward fold, staff+forward fold",
Yoga with Adriene,Revolution,Day 30 - Intuition ,27 min,Active,"Low lunge+twist, half splits, crescent lunge, warrior II, peaceful warrior, garland","Balancing table, toe stand, crow, 8 angle","cobra, cat/cow, staff","three-legged dog+nose to knee/kneww to elbow, yogi bicycles, crunches"
Yoga with Adriene,Revolution,Day 31 - Presence,34 min,,,,,
Yoga with Adriene,TRUE,Day 1 - Motive ,24 min,Gentle,"Warrior I, warrior II, reverse warrior, low lunge",,shoulder stretch,"Hovering cat, three legged dog"
Yoga with Adriene,TRUE,Day 2 - Trust ,36  min,Gentle,"Warrior I, warrior II, reverse warrior, low lunge",Table balance,"seated twist, cat/cow, pigeon+forward fold, staff+forward fold",Hovering cat
Yoga with Adriene,TRUE,Day 3 - Stretch ,34 min,Gentle,"Low lunge, warrior I, warrior II, reverse warrior, extended side angle, crescent lunge, half splits",One-legged mountain stretch,"R. twist, wind-relieving pose, open table twist, heart to earth, shinx, super dancer bind/stretch, standing side-body stretch, cobbler+forward fold, staff+forward fold, happy baby","Forearm plank, three-legged dog+nose to knee"
Yoga with Adriene,TRUE,Day 4 - Floor ,33 min,Gentle,,,"R. side body stretch, r. cobbler, r. twist, wide leg seat+forward fold, seated twistm staff+forward fold","Bridge flow, side crunches, boat"
Yoga with Adriene,TRUE,Day 5 - High ,24 min,Gentle,"Warrior I, humble warrior, high lunge",,"Neck stretch, cat/cow, heart to earth, kappalabhatti breath",hovering cat
Yoga with Adriene,TRUE,Day 6 - Kindle,21 min,Active,,,"Cat/cow, heart to earth, r. cobbler","Forearm plank mountain climbers, plank knee circles, half gate crunches, plank shoulder taps, boat + ext, bicycle crunches"
Yoga with Adriene,TRUE,Day 7 - Salud,25 min,Active,Warrior I,Tree,"Arm stretch, staff, r. pigeon",Bridge
Yoga with Adriene,TRUE,Day 8 - Salve ,29  min,Gentle,,,"Side body stretch, seated twist, one-legged wide leg seating+side stretch, seated and r. windshield wiper legs, cobbler (r. and forward fold), seated forward old, r. leg stretch",
Yoga with Adriene,TRUE,Day 9 - Open ,25 min,Active,"Low lunge, half splits, high lunge, crescent lunge",,"Standing side body stretch, open table twist+shoulde to earth, seated pigeon+forward fold, seated spinal flex, windshield wipers",Plank
Yoga with Adriene,TRUE,Day 10 - Detox ,26 min,Active,"Crescent lunge+twist, high lunge+twist, garland+twist",,"seated spinal flex, seated twist, seated side body stretch, table hip circles, standing forward fold+twists, r. twist","Three-legged dog+nose to knee, chair+twist"
Yoga with Adriene,TRUE,Day 11 - Soften ,17 min,Gentle,"Low lunge+twist, half splits, lizard",,"seated Side body stretch, sadhasana+forward fold, leg baby, firelog, cat/cow, piegon+forward fold",
Yoga with Adriene,TRUE,Day 12 - Center ,26 min,Active,"Crescent lunge, half splits, low lunge, high lunge+twist+reverse, warrior II, peaceful warrior, extended side angle",,"seated twist, seated spinal flex",Mermaid dips
Yoga with Adriene,TRUE,Day 13 - Strength and Harmony ,25 min,Active,"Goddess, warrior II pulses, rev. Triangle, peaceful warrior, extended side angle, low lunge+twist",,Standing wide-legged forward fold,"Mermaid dips, three-legged dog, bicycle crunches, raised leg pulses"
Yoga with Adriene,TRUE,Day 14 - Listen ,26 min,Gentle,,,"Cobbler, head to knee, half elephant glute stretch",Boat var
Yoga with Adriene,TRUE,Day 15 - Believe ,18 min,Active,"Crescent lunge, pyramid forward fold, high lunge",Warrior III,"Cat/cow, table side stretch, petit bonhomme"," Hovering cat, lotus"
Yoga with Adriene,TRUE,Day 16 - Self-Love ,41 min,Vigorous,"Crescent lunge, high lunge+twist+reverse, warrior II, peaceful warrior, extended side angle, low lunge, pyramid+forward fold","Standing splits, half moon","Cheerleader legs+stretch+twist, cat/cow, mountain twists, r. twist, happy baby, windshield wipers",Three-legged dog
Yoga with Adriene,TRUE,Day 17 - Charisma,33 min,Gentle,"Low lunge+twist, half splits, rev. Crescent lunge/rev high lunge",,"Kapalaghatti breath, cat/cow, sphinx+dancer bind, rocking horse, r. cobbler, hedgehog, happy baby","Three-legged dog, pushups"
Yoga with Adriene,TRUE,Day 18 - Surrender,22 min,Vigorous,,"Standing ankle stretch, side plank flow, forearm side plank flow","Cat/cow, side body stretch, seated forward fold","Forearm planks, squats, dolphin"
Yoga with Adriene,TRUE,Day 19 - Thought ,22 min,Gentle,Garland,"Standing pigeon+forward fold, eagle","Wide-legged standing+forward fold, windshield wiper legs",
Yoga with Adriene,TRUE,Day 20 - Awaken,25 min,Gentle,,,"Neck stretch, seated spinal flex, seated side body stretch, staff+forward fold, siddhasana+forward fold, r. twist, r. cobbler","Reverse table, bridge, yogi bicycles"
Yoga with Adriene,TRUE,Day 21 - Finesse,21 min,Gentle,Crescent lunge,Balancing table,"Cat/cow, table twist, pigeon+forward fold","Hovering cat, three-legged dog+nose to knee "
Yoga with Adriene,TRUE,Day 22 - Release,20 min,Active,,"One-legged standing, tree, hummingbird","Hedgehog, mountain to forward fold flow, mermaid stretch, sphinx stretch, cobbler+forward fold","Chair+forward fold flow, forearm plank, dolphin"
Yoga with Adriene,TRUE,Day 23 - Balance,22 min,Active,"Warrior I, warrior II, peaceful warrior, extended side angle, low lunge+twist, pyramid+forward fold","Balancing table, standing one-legged mountain+twist, standing splits+bend",Cat/cow,Three-legged dog+nose to knee
Yoga with Adriene,TRUE,Day 24 - Be kind ,13 min,Gentle,,,"seated side body stretch, staff+forward fold, r. leg stretch, happy baby",
Yoga with Adriene,TRUE,Day 25 - Be Aware ,24 min,Active,"Crescent lunge +twist, half split, pyramid+forward fold, warrior I, low lunge",,"Cat/cow, heart to earth, sphinx, standing side stretch, petit bonhomme, r. pigeon, r. twist with eagle legs","Hovering table, forearm plank, three-legged dog, dolphin"
Yoga with Adriene,TRUE,Day 26 - Be still ,24 min,Gentle,"Crescent lunge, half splits, high lunge, pyramid+forward fold, lizard",,"Neck stretches, pranayama, cat/cow",Three-legged dog
Yoga with Adriene,TRUE,Day 27 - Be free ,19 min,Active,"Warrior I, warrior II, peaceful warrior, reverse warrior, extended side angle, reverse+rev. Triangle, low lunge+twist, crescent lunge, half split",,Cobbler,"Three-legged dog+knee circles, boat"
Yoga with Adriene,TRUE,Day 28 - Be Fearless ,19 min,Active,"High lunge+rev, pyramid+forward fold, garland","Warrior III, crow","Staff+forward fold, seated pigeon, seated twist","Three-legged dog, downward dog to plank hurdles"
Yoga with Adriene,TRUE,Day 29 - Be Brave ,25 min,Gentle,"Crescent lunge, warrior I, warrior II, low lunge twist","One-leg mountain to warrior III flow, standing pigeon+forward fold","Siddhasan+heart opener+forward fold, staff+forward fold, hero+twist, wind-relieving pose, r. twist","Reverse table, three-legged dog+nose to knee, chair"
Yoga with Adriene,TRUE,Day 30 - Be You,31 min,,,,,
